中文片名,英文片名,期待度,海報圖片,上映日
地獄怪客：血后的崛起,Hellboy,95%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/November2018/Zj24hpguXm3NITIBjEgI-840x1200.jpg,2019-04-11
禁入墳場,Pet Sematary,90%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2019/zkaR7xCgJ9CNoJfyLvMI-1012x1500.JPG,2019-04-12
人盡皆知,Everybody Knows,68%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2019/4FYsUy16Xf9B6Uonmo2r-1984x2835.JPG,2019-04-12
女王的柯基,The Queen’s Corgi,76%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2019/HrLGWCSZ005b67JzSM9N-2500x3360.png,2019-04-12
十二個想死的少年,12 Suicidal Teens,71%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/fLfIHQJO2uHWa3tYckBE-2487x3543.jpg,2019-04-12
電競殺手,Censor,68%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/m0n84JkfjX6CpqydexAp-1246x1781.jpg,2019-04-12
灰影地帶,Ashes in the Snow,73%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2019/eeMNnjNLjAt8hVqOvMmy-850x1215.jpg,2019-04-12
我們的青春，在台灣,Our Youth in Taiwan,49%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/5dZSspv74IkcAxsLsIuB-1500x2172.jpg,2019-04-12
一念,A Decision,54%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/8bGYeboNRj2QoMIB2V1u-1569x2244.jpg,2019-04-12
惡孕,Malicious,86%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/wKn0FXKrUHgJZ69zyeCE-1984x2834.jpg,2019-04-12
真愛，再出發,Departures,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/wkOaUb0KVFh1LaKlxoFR-1772x2589.jpg,2019-04-12
異類占領,Captive State,45%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2019/Fz7RHLDwJqbLI32WvcYL-702x1000.jpg,2019-04-12
沒有你的生日,Birthday,77%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2019/bXLV274rGqp5weiHEkkJ-1984x2835.jpg,2019-04-12
